wave length,direct light
752.39,41832.2
752.79,41672.4
753.2,41631.4
753.6,41066.8
754.01,41628.2
754.41,41489.4
754.82,41843.8
755.22,41573.8
755.63,40983.6
756.03,40566.4
756.44,40952.6
756.84,40819.2
757.25,40718.8
757.65,40370.4
758.05,40401.4
758.46,40571.2
758.86,40595.2
759.26,40069.4
759.67,39946.8
760.07,39751.6
760.47,39837.6
760.87,39602.2
761.28,39525.2
761.68,39197.4
762.08,39323.8
762.48,39481.6
762.88,39037.8
763.28,38603.2
763.68,38361.8
764.08,38260
764.48,38005.6
764.88,38253
765.28,38337.8
765.68,37976
766.08,37848.2
766.48,37832.8
766.88,38042.6
767.28,37833.4
767.68,37606
768.07,37749.6
768.47,37571
768.87,37180.2
769.27,36879
769.66,37096.4
770.06,37267.2
770.46,37212
770.86,36840
771.25,36974.6
771.65,36778.6
772.04,36461.6
772.44,36508.8
772.84,36241.4
773.23,36066.4
773.63,35850.4
774.02,35852
774.42,35625
774.81,35391.6
775.21,35248.6
775.6,35486.6
775.99,34998.2
776.39,35012.4
776.78,35008.8
777.18,35101
777.57,34819.2
777.96,34464.2
778.35,34816.4
778.75,34415
779.14,34348.8
779.53,34172.2
779.92,34274.4
780.31,34319.8
780.71,34152.8
781.1,34156
781.49,34188.8
781.88,34033
782.27,33537
782.66,33563.6
783.05,33333
783.44,33019
783.83,33068
784.22,32807.2
784.61,32827.4
785,33126.4
785.39,32743.8
785.78,32760.8
786.16,32532.8
786.55,32216
786.94,32295.6
787.33,32025.8
787.72,32041.6
788.1,31769.2
788.49,31547.6
788.88,31592.4
789.26,31448
789.65,31395.4
790.04,31403.6
790.42,31312.4
790.81,31573.4
791.19,31584
791.58,31237.4
791.97,31256.6
792.35,31247.6
792.74,31104.8
793.12,30969.6
793.5,30847.8
793.89,31107.4
794.27,31066
794.66,30975
795.04,30480.4
795.42,30609.6
795.81,30609.4
796.19,30283.6
796.57,30247.8
796.96,29800.8
797.34,29956.4
797.72,29932.2
798.1,29996.6
798.48,30151.6
798.86,29650.2
799.25,29389.4
799.63,29188.6
800.01,29428.4
800.39,29519.8
800.77,29394.2
801.15,29220.8
801.53,29163.8
801.91,29305.8
802.29,29614.4
802.67,29483.6
803.05,29478
803.43,29512
803.8,29448
804.18,29509
804.56,29336.6
804.94,28994.4
805.32,28981.2
805.69,28755.2
806.07,28753.8
806.45,28858
806.83,28610.2
807.2,28653.6
807.58,28784.8
807.96,28539.8
808.33,28628.2
808.71,28940.8
809.08,28790.2
809.46,28644.8
809.83,28603.6
810.21,28596
810.58,28313.4
810.96,28009.6
811.33,27977.6
811.71,27799.8
812.08,27852.2
812.46,27911.4
812.83,28019.4
813.2,27873
813.58,28131.6
813.95,27808
814.32,28052.2
814.69,27782.2
815.07,28047.6
815.44,27888.4
815.81,27647.4
816.18,27539.8
816.55,27718.2
816.92,27421.4
817.29,27806.6
817.67,27618.6
818.04,27295.4
818.41,27189.4
818.78,27269
819.15,27186.4
819.52,27207.8
819.89,27235.2
820.26,27029.8
820.62,27009.2
820.99,26969.8
821.36,26742.6
821.73,26851.6
