length,0dig,10dig,20dig,30dig,40dig,50dig,60dig,70dig,80dig,85dig
495.49,1458.2,1424.4,1359.8,1269,1174.4,1011.4,874.4,617.4,267.4,21
496.01,1477.4,1450.2,1386.6,1303.2,1141.8,1024.2,841.2,620,265.6,2
496.53,1478.6,1468,1402.2,1282.6,1171.8,1013,845.8,612.2,268,11.4
497.05,1521.4,1473.4,1394.6,1293.8,1158.2,1084.6,826.8,573.6,249.4,5
497.57,1512.6,1510.2,1414.2,1301.8,1168.2,1120.8,872,631.4,286.8,49.6
498.1,1504.2,1540,1429.4,1327.4,1214,1063.8,921,632.8,276.6,14.8
498.62,1528.4,1449,1465.2,1363.8,1199.2,1053.4,899.4,616.2,270,-4
499.14,1536.2,1540.2,1522.6,1352.2,1235,1050,887,647.6,220.4,-8.2
499.66,1538.8,1534.6,1474.8,1342.2,1269.4,1070.6,902.2,634.6,293.8,23.2
500.18,1593.2,1512.4,1495.2,1387.2,1252,1116.4,905.6,665.6,264.2,-33.8
500.7,1620,1539,1508.4,1387.2,1280.6,1118.4,911.2,665.6,259.2,1
501.22,1636.6,1606.6,1562,1391.6,1315.2,1097.2,922.2,670.2,288.4,11
501.74,1656,1592.6,1550,1426.6,1326.4,1193,945,657,300.2,-7.4
502.26,1637.8,1643.6,1570.4,1449,1334.2,1141.2,948.4,704.2,296,24.4
502.78,1692.4,1681.4,1621.6,1470.2,1342.2,1160.8,944.2,719.2,270.8,7
503.3,1673,1667,1582.4,1522.2,1349.8,1181,989.8,709,322,16
503.82,1729.8,1649.8,1599.6,1491.4,1377.4,1175,979,726.4,336.4,1.4
504.34,1743.2,1683.6,1674.8,1535.2,1431.2,1230.4,962.4,722.4,267.6,15.8
504.85,1758.4,1714.4,1670,1501.4,1374.4,1178.4,1018,721.4,285.8,-0.8
505.37,1760,1714,1682,1552.4,1428.6,1255.6,991.8,737.6,317,11.2
505.89,1776.4,1777.8,1693.8,1576,1428.2,1237,1013.6,745,311.8,9
506.41,1768.8,1760.4,1718.4,1555.6,1427.4,1284.2,1002,735.4,301,4
506.93,1798.8,1828,1736.6,1583.6,1470.6,1248.2,1017.4,758.8,280.8,5.2
507.44,1902.6,1840.8,1761.8,1634,1473,1286.8,1069.2,799,333,-40.6
507.96,1913.6,1856.4,1765.4,1653.6,1488,1340.8,1107.4,788.4,354.8,32
508.48,1903.4,1865,1745.6,1669.8,1488.4,1303,1105.8,810.4,336.4,2.2
509,1899.2,1917.4,1816.6,1650.2,1536.6,1334.6,1108,796.2,341.6,-19.6
509.51,1971.6,1938.6,1849.4,1726,1557.4,1366.8,1053,785.6,333.2,14.8
510.03,1940.4,1983.2,1831.4,1681,1575.4,1374.8,1138.4,797,358.4,1
510.55,1976.4,2012.4,1940.8,1755,1603.8,1396.8,1162.6,831.2,358.6,-7.8
