wave leght [nm]\ AOI [dig],0,5,10,15,20,25,30,35,40,45,50,55,60,65
442.23,14,-15.2,-11.2,-52,-30.6,16.8,-2.8,14.6,16,-12.8,-2.2,-23,3,-27.6
442.77,21.8,-3,14.2,-36,14.6,-27.8,-13.4,17.6,-14,1,-19.6,-4.6,15,11.2
443.31,16.8,-15.4,-3.6,-6.2,-0.6,9.4,24.6,31.2,-3,16.6,-30,-13,4.2,-0.8
443.86,-5,-3.8,-1.4,-20.8,-26.8,31.8,-6.2,12.4,-11.6,5,35.2,-13.4,-19.4,-18.8
444.4,-13.2,12.6,-13.4,4.2,-14.6,-1.2,28.8,9.2,35.8,-12,-32.4,-26.2,-0.6,19.2
444.94,21.2,0.8,-9.8,20.2,-45.4,-1.6,-44.6,-6.4,-30,19.4,0.8,-2.8,16.6,-17.4
445.48,-11.6,-13.4,-42,-18.4,-5.4,12.6,-6.8,-18.6,5.8,-31,8,-7.6,16.8,-46.6
446.02,-1.4,8.2,-21.6,5.8,0.8,29.8,12,31,14,-2,5.2,-13,-12,-4.2
446.56,36,3.8,-20.8,-2.2,30,-30.8,-10.2,22.6,-19.6,0.4,28.6,3.4,-7.8,18.2
447.11,2.2,5.2,-10.2,-16.6,-14,34.6,-17.4,28.8,19,5.8,33.4,-14.4,2.6,-5.6
447.65,25.8,-16.2,-13,43.2,25.2,-0.4,3.4,-4.2,-12.4,4,11,26.8,-7.6,-11.6
448.19,1.8,-19.2,6.4,21.2,30.6,-27.8,6.6,15.8,-13,3.2,-29.4,1.8,4.6,-19.4
448.73,-23.8,13,19.6,-0.4,-12.2,4.8,-14.2,-20.4,-12,12.6,-12,15.8,-29.2,15.4
449.27,5.6,12,-23.8,-26.8,-15.6,-39.8,5.2,-15,-13.8,2.4,-10.4,3.6,-19.4,-29.4
449.81,14.8,14.8,-12.4,-12,-15.4,-11.6,-6.6,-5.2,-16.2,-14.2,15.8,-17,-12.6,19.2
450.35,30.4,9.4,-5.8,10.4,-5.4,25,-3.8,-7.4,6.6,4.6,26,1.2,-41.2,18
450.89,-21.2,10.8,3,-17.2,-18.6,-35.8,11.8,15,43.6,33.4,21.6,14.2,33.6,-5
451.43,-18.4,-12.2,-4.6,-3.6,-0.8,20,-2.6,20.6,30.2,53,-33.8,-5.4,-20,-3.8
451.97,-6.4,-5.8,-5.4,-16.2,22.2,5.8,-7,45.2,31.2,7.6,-27.8,24.2,-8.4,-9.6
452.51,-26.4,3.4,-5.4,2.2,-9,6.8,-27.4,-23.8,35,-6,7.6,22.2,-22.4,-5.6
453.04,-16.8,23.6,34,12.4,-22,21.2,14.2,-7.6,-27.2,54.6,-12.2,36,-16.4,3.2
453.58,10.4,40,8.4,17,20.6,23.4,-42.4,22,1,32,0.6,-14.2,-1.4,11
454.12,-24.6,20.8,27.4,-19,10,-27.2,-11.8,8,50,19.2,-2,35,-30,10.6
454.66,14.2,-49.4,10,-6.2,10.4,-31.4,-4.2,1.6,-13.4,-15,2.6,-0.2,-0.2,36.4
455.2,21.6,-33.4,-0.6,3.2,17.8,-12.8,-22.8,15.6,1.8,-11.2,-6.8,6.8,6.2,14.8
455.74,22.8,-13.2,2.6,13.8,20.8,15.8,-1.6,8,-5.8,-18.6,-23.2,-21.4,-2.4,-57.2
456.27,-6.4,3,-21.8,29,21.2,-5.4,-19.6,15,0.4,14,2.4,21,18,-4.4
456.81,19.8,3.4,-16.6,-20.6,-29.8,-15.2,7.2,25,-10.2,-28,-35.2,7.4,-21.4,-19.4
457.35,-7.6,-7.2,0.8,1,20.4,5.6,-4.8,7,6.4,9,13.4,5.6,-4.6,10.8
457.89,-41.8,2.8,13,15.2,11.8,-14.6,12.2,25,17,-3,36,-19.2,14.4,24
458.42,-26.8,-28.4,8.6,22.6,3.2,9.8,0.2,5.6,-36.2,-25.4,15.2,3.2,16.6,20.6
458.96,-25.4,-7.8,-3.2,-12.4,-5.2,3.8,-8.6,3.8,20.8,5.8,25.4,10.8,-23.2,-3.4
459.5,6.6,15,39.4,5.2,9.4,16.2,-16.2,-11.8,31.4,22,-18.8,23.4,9.6,9
460.03,2.6,-16.8,-23.2,-13.6,-1,-1.4,-5.2,13.2,-7.2,-14.4,1.6,8.4,48.6,9.2
460.57,1.8,25,-0.2,21.6,-9.6,12,-21,-2.8,-8,-4,22,-41.8,-4.4,9.8
461.1,-5.2,25.6,-15.2,-6.8,-57,-10.6,1.8,9,28.2,-13.8,1,6.4,11.2,-5.2
461.64,-0.2,-26.4,-6.6,-32.6,-8.4,23.6,8,0.2,-6.2,-24.4,-15.6,14.2,2.8,-1.8
462.17,32.8,3,-47.4,-5,-10.8,20.6,-1.2,33.4,-26,-4.8,19,28.8,31,-41.2
462.71,-0.6,-2.4,-27.8,-23.4,-23.4,12.2,35,-5.2,-19,-36.4,9.2,1,18.4,-0.6
463.24,3,-26.8,-34,-26.4,-24.4,-7.8,41,-32.4,-23.4,19,-5,-38.8,24.4,5.6
463.78,-14.4,-16.6,-9.2,-5.2,-10.4,-13.6,-5.6,13.2,21.4,15.8,-8.8,8,9.4,-12
464.31,-10.8,-6.6,-3.6,0.4,-36.8,2.2,0,-9.4,12,-10.8,-24.4,6.8,-21,-46.8
464.85,14.2,-10.8,-4.8,48,10.8,-17.4,-2.8,-19.4,-10.6,-11,-19.4,16.8,27.2,16
465.38,-32,-2,-31.6,35.8,3,-30,-1,9.8,-30.2,11.6,1.2,-0.8,-17.6,-17.6
465.92,-26.8,8.4,30,-7.4,4.8,18.8,11.4,-5,-8,4.6,29.2,-29.6,-17.6,-0.4
466.45,9.8,40,14,-26,43.2,31.8,-22.6,-28.6,-39.4,1.4,18.6,39.4,0,-9.6
466.98,-3.6,33.4,6,6.8,5,10.8,-14.4,5.2,-4,3.4,21.2,23.4,-13.2,7.8
467.52,-6.2,-14,-46.4,-10.2,6.4,-29.6,-5.8,-17,34.2,-35.8,7.8,4.2,-1.4,-25.8
468.05,-20.8,40,6.4,-1.4,21,-24.2,1.6,7.6,4.2,-11.6,20.2,8.2,28.4,-18.8
468.58,-15.8,8,17.4,24.2,25,-6.4,19.4,10,12.6,15.6,-5,39.6,2.2,10.2
469.12,21.8,-35.4,-33.8,-30.6,1.4,-10.8,-15.2,23.8,-15.4,31.4,24.4,-12.8,-7.2,-12.4
469.65,6.8,14.4,-35.6,-5,-9.6,-1.4,-37.4,-16.8,8.2,-28.4,-22.4,23,-36.4,9
470.18,-2.6,29.4,2.6,-19.4,4,21.4,-26,-19.8,9.8,3.8,7.4,-14.6,-18,11.8
470.71,10.2,1.4,10.2,-15,-1.8,32.4,-11.4,-20.6,-17.2,12,12.8,-17,-7.4,6.2
471.24,25.8,2.6,-0.4,-7.4,41.8,-7.8,3.2,5.2,8.2,17.6,-26.4,-14.6,-10.2,6.6
471.78,11.2,19.6,39.4,18.4,7.4,-18.6,1.6,11.4,-35.4,5,9.4,-7,-6.4,-21.8
